,handle,solvedCount,voteCount,class,tier,ratingByProblemsSum,university
akim0741,akim0741,71,0,1,6,170,성균관대학교
akim9905,akim9905,2094,280,7,23,2022,아주대학교
akindo19,akindo19,73,0,1,7,261,성균관대학교
aksae,aksae,40,0,1,4,67,아주대학교
aksrkq93,aksrkq93,413,0,5,17,1474,성균관대학교
akswn1030,akswn1030,79,0,1,7,313,한양대학교
aktm708,aktm708,170,0,3,12,836,숭실대학교
aku34587,aku34587,313,0,3,13,997,아주대학교
akuby21,akuby21,209,0,3,12,858,경북대학교
akvk98,akvk98,365,0,4,16,1314,경북대학교
akwkek11,akwkek11,607,112,5,20,1781,고려대학교
akzkfhdfhd,akzkfhdfhd,132,0,3,13,1011,고려대학교
al7ech,al7ech,200,0,1,13,1078,연세대학교
albenyu12,albenyu12,13,0,0,0,15,숭실대학교
albert0507,albert0507,209,0,2,14,1123,중앙대학교
albert1211,albert1211,11,0,0,2,58,서울대학교
albertk0305,albertk0305,51,0,1,4,73,서강대학교
alchemist7852,alchemist7852,64,0,1,6,152,아주대학교
aledma2352,aledma2352,12,0,0,2,75,숭실대학교
alex01,alex01,190,0,0,17,1676,서울대학교
alex6856,alex6856,253,0,4,14,1091,성균관대학교
alex963,alex963,221,0,4,14,1068,중앙대학교
alex9801,alex9801,4632,645,9,26,2345,KAIST
alexanderboykin,alexanderboykin,172,0,3,13,960,국민대학교
alexchoi,alexchoi,137,0,2,10,518,연세대학교
alexhanwool,alexhanwool,37,0,0,6,250,서울대학교
alexization,alexization,348,0,4,15,1145,연세대학교
alexj99,alexj99,307,0,5,15,1228,국민대학교
alexyrlee,alexyrlee,15,0,0,1,20,고려대학교
algmlfkd12,algmlfkd12,15,0,0,5,151,중앙대학교
algoant,algoant,437,76,5,17,1430,연세대학교
algokcm777,algokcm777,382,0,4,14,969,국민대학교
algorythms,algorythms,150,0,2,10,600,고려대학교
alice4055,alice4055,6,0,0,0,11,중앙대학교
aliceshard,aliceshard,185,0,3,13,980,아주대학교
alilily2020,alilily2020,204,0,2,10,537,숭실대학교
alisonyang,alisonyang,268,0,2,13,991,KAIST
alkyne,alkyne,445,0,3,13,954,KAIST
allbest22,allbest22,211,0,4,15,1146,성균관대학교
allen246,allen246,197,0,3,13,1033,연세대학교
allloook02,allloook02,62,0,1,6,151,연세대학교
allonsy07,allonsy07,72,0,1,7,264,고려대학교
allstar13188,allstar13188,1678,0,5,18,1563,서강대학교
almagest,almagest,429,0,3,13,865,연세대학교
alnca0103,alnca0103,536,0,5,16,1329,서강대학교
alogeclock,alogeclock,362,0,4,15,1185,서강대학교
alohajm,alohajm,847,0,5,20,1758,한양대학교
alohasojin,alohasojin,49,0,0,6,232,한양대학교
alonso14,alonso14,560,0,4,16,1357,서강대학교
alonso7825,alonso7825,115,0,3,12,891,한양대학교
alpakar02,alpakar02,72,0,1,7,238,서울대학교
alperatz,alperatz,181,4,0,16,1601,KAIST
alpha_joong,alpha_joong,6,0,0,0,6,서강대학교
alphago159,alphago159,249,0,3,14,1074,경북대학교
alphahoon,alphahoon,74,0,1,7,318,KAIST
alphatechnic,alphatechnic,470,0,5,18,1565,서강대학교
alpyh217,alpyh217,256,14,6,18,1616,서울대학교
alreadysolved,alreadysolved,399,33,5,23,2098,한양대학교
als1331,als1331,133,0,2,10,561,숭실대학교
als6068,als6068,166,0,3,12,797,아주대학교
alscjf9751,alscjf9751,78,0,2,8,296,중앙대학교
alsdn0110,alsdn0110,264,0,3,14,1080,서울대학교
alsdnr67,alsdnr67,121,0,2,12,897,아주대학교
alsdnska,alsdnska,43,0,0,7,330,연세대학교
alsehdrb123,alsehdrb123,40,0,1,4,72,고려대학교
alsgh4098,alsgh4098,155,0,3,14,1072,아주대학교
